timestamp_iso,frame_idx,mode,arm_state,distance_m,distance_src,odom_x_m,odom_y_m,odom_theta_rad,feedback_lin_mps,feedback_ang_rps,ball_odom_assist_active,bucket_odom_assist_active,odom_goal_update_count,odom_goal_color_reject_count,odom_goal_depth_invalid_count,odom_goal_error_count,odom_goal_hysteresis_hold_count,ball_odom_fallback_count,bucket_odom_fallback_count,odom_snapshot_count,target_ball_requested,carrying_ball_color,target_bucket_color,detection_count,detections,latest_msg
2026-03-26T20:38:21.129,1,detect,idle,0.000,geom,0.000,0.000,0.003,0.000,0.002,False,False,0,0,0,0,0,0,0,0,red ball,,,0,,"-0.00, 0.00, 0, 0, 0"
2026-03-26T20:38:21.151,2,detect,idle,0.000,geom,0.000,0.000,0.003,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,0,,"-0.00, 0.00, 0, 0, 0"
2026-03-26T20:38:21.176,3,detect,idle,0.000,geom,0.000,0.000,0.003,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,2,red ball:0.52;red bucket:0.94,"-0.00, 0.00, 0, 0, 0"
2026-03-26T20:38:21.198,4,detect,idle,0.000,geom,0.000,0.000,0.003,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,0,,"-0.00, 0.00, 0, 0, 0"
2026-03-26T20:38:21.229,5,detect,idle,0.000,geom,0.000,0.000,0.003,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,2,red ball:0.52;red bucket:0.94,"-0.00, 0.00, 0, 0, 0"
2026-03-26T20:38:21.265,6,detect,idle,0.000,geom,0.000,0.000,0.003,0.000,0.002,False,False,0,0,0,0,0,0,0,0,red ball,,,2,red ball:0.58;red bucket:0.94,"-0.00, 0.00, 0, 0, 0"
2026-03-26T20:38:21.300,7,detect,idle,1.404,depth,0.000,0.000,0.003,0.000,0.001,True,False,1,0,0,0,0,0,0,0,red ball,,,2,red ball:0.52;red bucket:0.94,"0.30, 0.12, 0, 0, 0"
2026-03-26T20:38:21.335,8,detect,idle,1.406,depth,0.000,0.000,0.003,0.000,0.001,True,False,1,0,0,0,1,0,0,0,red ball,,,2,red ball:0.54;red bucket:0.94,"0.30, 0.12, 0, 0, 0"
2026-03-26T20:38:21.365,9,detect,idle,1.406,depth,0.000,0.000,0.003,0.000,0.002,True,False,1,0,0,0,2,0,0,0,red ball,,,2,red ball:0.51;red bucket:0.94,"0.30, 0.12, 0, 0, 0"
2026-03-26T20:38:21.630,10,detect,idle,1.406,depth,0.000,0.000,0.003,0.000,0.001,True,False,1,0,0,0,3,0,0,0,red ball,,,2,red ball:0.53;red bucket:0.94,"0.30, 0.12, 0, 0, 0"
2026-03-26T20:38:21.665,11,detect,idle,1.406,depth,0.000,0.000,0.003,0.000,0.001,True,False,1,0,0,0,4,0,0,0,red ball,,,3,blue bucket:0.65;red ball:0.67;red bucket:0.94,"0.30, 0.12, 0, 0, 0"
2026-03-26T20:38:21.700,12,detect,idle,1.391,depth,0.000,0.000,0.003,0.000,0.002,True,False,1,0,0,0,5,0,0,0,red ball,,,3,blue bucket:0.62;red ball:0.69;red bucket:0.94,"0.30, 0.12, 0, 0, 0"
2026-03-26T20:38:21.732,13,detect,idle,1.337,depth,0.000,0.000,0.004,0.000,0.002,True,False,2,0,0,0,5,0,0,0,red ball,,,4,blue bucket:0.66;blue bucket:0.55;red ball:0.71;red bucket:0.94,"0.30, 0.13, 0, 0, 0"
2026-03-26T20:38:21.764,14,detect,idle,1.331,depth,0.000,0.000,0.004,0.000,0.002,True,False,2,0,0,0,6,0,0,0,red ball,,,4,blue bucket:0.70;blue bucket:0.54;red ball:0.73;red bucket:0.94,"0.30, 0.13, 0, 0, 0"
2026-03-26T20:38:21.798,15,detect,idle,1.319,depth,0.000,0.000,0.004,0.000,0.001,True,False,2,0,0,0,7,0,0,0,red ball,,,3,blue bucket:0.78;red ball:0.66;red bucket:0.94,"0.30, 0.13, 0, 0, 0"
2026-03-26T20:38:21.830,16,detect,idle,1.312,depth,0.000,0.000,0.004,0.000,0.001,True,False,2,0,0,0,8,0,0,0,red ball,,,3,blue bucket:0.87;red ball:0.69;red bucket:0.94,"0.30, 0.13, 0, 0, 0"
2026-03-26T20:38:21.864,17,detect,idle,1.303,depth,0.000,0.000,0.004,0.000,0.001,True,False,2,0,0,0,9,0,0,0,red ball,,,3,blue bucket:0.89;red ball:0.73;red bucket:0.94,"0.30, 0.13, 0, 0, 0"
