timestamp_iso,frame_idx,mode,arm_state,distance_m,distance_src,odom_x_m,odom_y_m,odom_theta_rad,feedback_lin_mps,feedback_ang_rps,ball_odom_assist_active,bucket_odom_assist_active,odom_goal_update_count,odom_goal_color_reject_count,odom_goal_depth_invalid_count,odom_goal_error_count,odom_goal_hysteresis_hold_count,ball_odom_fallback_count,bucket_odom_fallback_count,odom_snapshot_count,target_ball_requested,carrying_ball_color,target_bucket_color,detection_count,detections,latest_msg
2026-03-26T19:11:44.983,1,detect,idle,0.000,geom,0.000,0.000,0.001,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,0,,"0.00, 0.00, 0, 0, 0"
2026-03-26T19:11:44.998,2,detect,idle,0.000,geom,0.000,0.000,0.001,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,0,,"0.00, 0.00, 0, 0, 0"
2026-03-26T19:11:45.023,3,detect,idle,0.000,geom,0.000,0.000,0.001,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,0,,"0.00, 0.00, 0, 0, 0"
2026-03-26T19:11:45.053,4,detect,idle,0.000,geom,0.000,0.000,0.001,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,5,red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92,"0.00, 0.00, 0, 0, 0"
2026-03-26T19:11:45.089,5,detect,idle,0.000,geom,0.000,0.000,0.001,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,0,,"0.00, 0.00, 0, 0, 0"
2026-03-26T19:11:45.120,6,detect,idle,0.000,geom,0.000,0.000,0.001,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,5,red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92,"0.00, 0.00, 0, 0, 0"
2026-03-26T19:11:45.155,7,detect,idle,0.000,geom,0.000,0.000,0.001,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,0,,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.186,8,detect,idle,0.000,geom,0.000,0.000,0.001,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,5,red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.223,9,detect,idle,0.000,geom,0.000,0.000,0.001,0.000,0.002,False,False,0,0,0,0,0,0,0,0,red ball,,,0,,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.253,10,detect,idle,0.000,geom,0.000,0.000,0.001,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,6,blue ball:0.57;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.289,11,detect,idle,0.000,geom,0.000,0.000,0.001,0.000,0.002,False,False,0,0,0,0,0,0,0,0,red ball,,,0,,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.320,12,detect,idle,0.000,geom,0.000,0.000,0.002,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,6,blue ball:0.55;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.355,13,detect,idle,0.000,geom,0.000,0.000,0.002,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,0,,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.387,14,detect,idle,0.000,geom,0.000,0.000,0.002,0.000,0.002,False,False,0,0,0,0,0,0,0,0,red ball,,,6,blue ball:0.65;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.422,15,detect,idle,0.000,geom,0.000,0.000,0.002,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,0,,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.453,16,detect,idle,0.000,geom,0.000,0.000,0.002,0.000,0.002,False,False,0,0,0,0,0,0,0,0,red ball,,,5,red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.489,17,detect,idle,0.000,geom,0.000,0.000,0.002,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,5,red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.544,18,detect,idle,0.000,geom,0.000,0.000,0.002,0.000,0.003,False,False,0,0,0,0,0,0,0,0,red ball,,,0,,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.606,19,detect,idle,0.000,geom,0.000,0.000,0.002,0.000,0.002,False,False,0,0,0,0,0,0,0,0,red ball,,,5,red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.667,20,detect,idle,0.000,geom,0.000,0.000,0.002,0.000,0.002,False,False,0,0,0,0,0,0,0,0,red ball,,,5,red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.729,21,detect,idle,0.000,geom,0.000,0.000,0.002,0.000,0.000,False,False,0,0,0,0,0,0,0,0,red ball,,,6,blue ball:0.62;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.791,22,detect,idle,0.000,geom,0.000,0.000,0.002,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,0,,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.852,23,detect,idle,0.000,geom,0.000,0.000,0.002,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,6,blue ball:0.53;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.914,24,detect,idle,0.000,geom,0.000,0.000,0.002,0.000,0.002,False,False,0,0,0,0,0,0,0,0,red ball,,,5,red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:45.977,25,detect,idle,0.000,geom,0.000,0.000,0.003,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,7,red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;yellow ball:0.82;yellow ball:0.62,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:46.038,26,detect,idle,0.000,geom,0.000,0.000,0.003,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,7,red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;yellow ball:0.92;yellow ball:0.88,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:46.099,27,detect,idle,0.000,geom,0.000,0.000,0.003,0.000,0.001,False,False,0,0,0,0,0,0,0,0,red ball,,,0,,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:46.161,28,detect,idle,0.000,geom,0.000,0.000,0.003,0.000,0.002,False,False,0,0,0,0,0,0,0,0,red ball,,,9,blue ball:0.79;blue ball:0.54;blue ball:0.54;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;yellow ball:0.79,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:46.223,29,detect,idle,0.000,geom,0.000,0.000,0.003,0.000,0.002,False,False,0,0,0,0,0,0,0,0,red ball,,,7,red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;yellow ball:0.92;yellow ball:0.60,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:46.285,30,detect,idle,0.000,geom,-0.000,-0.000,0.003,-0.004,0.002,False,False,0,0,0,0,0,0,0,0,red ball,,,6,red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;yellow ball:0.92,"0.00, 0.22, 0, 0, 0"
2026-03-26T19:11:46.346,31,detect,idle,0.000,geom,-0.000,-0.000,0.003,-0.004,0.004,False,False,0,0,0,0,0,0,0,0,red ball,,,6,red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92;yellow ball:0.80,"0.00, -0.32, 0, 0, 0"
2026-03-26T19:11:46.408,32,detect,idle,0.000,geom,-0.001,-0.000,0.004,0.000,0.007,False,False,0,0,0,0,0,0,0,0,red ball,,,5,blue ball:0.72;red bucket:0.92;red bucket:0.92;red bucket:0.92;red bucket:0.92,"0.00, -0.32, 0, 0, 0"
