timestamp_iso,frame_idx,mode,arm_state,distance_m,distance_src,target_ball_requested,carrying_ball_color,target_bucket_color,detection_count,detections,latest_msg
2026-03-04T10:34:27.567,1,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:34:28.150,2,fixed_ball,idle,0.000,geom,red ball,,,1,yellow bucket:0.53,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:34:28.175,3,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:34:28.208,4,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:34:28.241,5,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:34:28.275,6,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:34:28.308,7,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:34:28.341,8,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:34:28.375,9,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:34:28.408,10,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:34:28.441,11,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.58,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:34:28.475,12,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:34:28.508,13,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:34:28.542,14,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
