timestamp_iso,frame_idx,mode,arm_state,distance_m,distance_src,target_ball_requested,carrying_ball_color,target_bucket_color,detection_count,detections,latest_msg
2026-03-04T10:55:38.503,48,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.51,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:38.537,49,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:38.570,50,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.51,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:38.604,51,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.55,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:38.637,52,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.57,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:38.670,53,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.55,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:38.704,54,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.57,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:38.737,55,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.54,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:38.770,56,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.64,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:38.804,57,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:38.837,58,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.54,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:38.871,59,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.55,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:38.904,60,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:38.937,61,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.53,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:38.971,62,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.004,63,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.51,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.037,64,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.071,65,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.52,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.104,66,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.50,"-0.30, 0.00, 0, 0, 10"
